"COMUNA","BARRIO","ESCENARIO","DIRECCION","Enlace Google Maps"
"5","La Libertad Kit 1","PARQUES BIOSALUDABLES","Carrera 18 Calle 18","s/d"
"5","La Libertad Kit 2","PARQUES BIOSALUDABLES","Carrera 18 Calle 18","s/d"
"5","El Tesoro","PARQUE INFANTILES","Carrera 36 A","s/d"
"5","Barrio Villa Regina","PARQUE INFANTILES","Calle 14 entre carreras 43 – 44","s/d"
"6","Timanco 4 etapa","Polideportivo","Cra 12 Calle 5 sur","https://goo.gl/maps/pFtUnfK6kX7GNmMv9"
"6","San Francisco","Polideportivo","Diag.7 sur Cra 14 A","https://goo.gl/maps/PX3RDvz6r3u6fCseA"
"6","San Francisco","Polideportivo","Diag. 11 A Cra 12 Sur","https://goo.gl/maps/C3VSk3FSSRWMy26fA"
"6","Minuto de Dios","Polideportivo","Cra 12 A # 3-02 sur","https://goo.gl/maps/uqVnw6KUEGcWdqYw5"
"6","El Bosque","Cancha de Minifútbol arena","Calle 2 sur car 7 A","https://goo.gl/maps/ETM74E3Pg8WbbkLR6"
"6","Bella vista","Polideportivo","Cra 28 Calle 18 C Sur","https://goo.gl/maps/a9TA4DuRUbxPJrBK8"
"6","Timanco 1 etapa","Polideportivo","Cra 25A  Calle 18 A sur","https://goo.gl/maps/sy2Gh3cVJA7GsT9T6"
"6","La Esperanza","Polideportivo","Cra 19 Calle 14 sur","https://goo.gl/maps/L6s36mWMKsjwo7LKA"
"6","La Esperanza","Cancha de Minifútbol","Cra 19 Calle 14 sur","https://goo.gl/maps/Ku33a6rJX1W9b96S9"
"6","San Luis de La Paz","Polideportivo","Cll 30 Sur Cra 31 A y 31 B","https://goo.gl/maps/RtHRFYdSnTncEUoE9"
"6","Jose Antonio Galan 1, 2, 3","Cancha de Minifútbol","Cra 28 calle 11 Sur","https://goo.gl/maps/xBLiyhuxUjkPHsNaA"
"6","Jose Antonio Galan 1, 2, 3","Polideportivo","Cra 28 calle 11 Sur","https://goo.gl/maps/kQhgMp8VcmhiKCyWA"
"6","Manzanares","Cancha de Minifútbol","Cll 20 Sur Con Cra. 29 y 29 A","https://goo.gl/maps/TBoEK3ie2gy24mMR9"
"6","Manzanares","Cancha de Fútbol","Cll 20 Sur Con Cra. 33","https://goo.gl/maps/XCMENqv6tiRWZ6im9"
"6","Manzanares 5 Etapa","Polideportivo","Cra 35 Calle 23 Sur","https://goo.gl/maps/hbssMmjKYocwuYFp8"
"6","Limonar Parte Alta","Polideportivo","Cra 37 y 38 Calle 23 A sur","https://goo.gl/maps/UnZVRuNDmoqGV9TU7"
"6","Limonar Parte Alta","Cancha de Minifútbol","Cra 38 calle 23 sur","https://goo.gl/maps/URdp2nxQMTUo59Kp9"
"6","Limonar Parte Baja","Polideportivo","Cll 20 Con Cra. 37  Sur","https://goo.gl/maps/NtJTcKkKcUHNRE9w7"
"6","Limonar Parte Baja","Cancha de  Minifútbol","Cll 20 y 22 Sur Cra. 37 y 38","https://goo.gl/maps/ok1iYHKAVK57XzC9A"
"6","Limonar Parte Baja","Polideportivo","Cra 39 Cll 16 D Sur","https://goo.gl/maps/brzkrbLcm39mLUjaA"
"6","Limonar Parte Baja","Polideportivo","Cra 39 Cll 16 D Sur","https://goo.gl/maps/brzkrbLcm39mLUjaA"
"6","Altos del Limonar","Polideportivo","Cra 36 calle 20 Bis Sur","https://goo.gl/maps/S5z9sqkzYRFL59xq8"
"6","Canaima","Fútbol","Carrera 22 calle 22 sur","https://goo.gl/maps/sCG2Do8a8trGTa4a9"
"6","Canaima","Polideportivo","Cra 24 Calle 23 A Sur","https://goo.gl/maps/ynhmCxqWkFgYuG1t6"
"6","San Jorge 1 etapa","Cancha de  Minifútbol","Cra. 29 con Cll 25 sur","https://goo.gl/maps/JKo28WhNpXEggPzH7"
"6","San Jorge 2 etapa","Cancha de Fútbol","Cra 23 calle 32 sur","https://goo.gl/maps/91KZWtHJq9Fho7TN6"
"6","San Jorge 2 etapa","Polideportivo","Calle 39 Sur Cra 23 y Cra 25","https://goo.gl/maps/HRA14j8r1PZt8gpi7"
"6","San Jorge 2 etapa","Voleibol arena","Calle 39 Sur Cra 23 y Cra 25","https://goo.gl/maps/PvfmcD8wR4K4ipkM8"
"6","San Jorge 2 etapa","Cancha de Minifútbol","Calle 39 Sur Cra 23 y Cra 25","https://goo.gl/maps/A5HW6nHgQNfegt6NA"
"6","Puertas del sol","Cancha de Voleibol Arena","Calle 28 A SUR Cra 33","https://goo.gl/maps/uXnVFFew5Cn1zHtr9"
"6","Puertas del sol","Cancha Sinteticas de Minifútbol","Calle 28 A SUR Cra 33","https://goo.gl/maps/KBMSYD6aiqZ93DNS7"
"6","Puerta del Sol 2 etapa","Polideportivo","Cra 30 calle 24 Sur","https://goo.gl/maps/1qRjitXzHwRM8MWd6"
